n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Intervalo_medio_diurno	Isotermalidad	Rango_anual_temp
62	SAM207	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
63	SAM208	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
64	SAM209	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
65	SAM21	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
66	SAM210	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
67	SAM211	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
68	SAM212	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
69	SAM213	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
70	SAM214	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
71	SAM215	pop22	Quilino	-64.466924	-30.216849	qui	18.970832824707	544	13.3416662216187	50.1566390991211	26.6000003814697
72	SAM216	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
73	SAM217	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
74	SAM218	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
75	SAM219	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
76	SAM22 	pop5	El Rodeo	-63.864467	-30.177233	Rod	17.6916675567627	766	14	52.2388038635254	26.7999992370605
77	SAM220	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
78	SAM221	pop23	Ruta9	-64.383481	-27.750008	R9	20.3875007629395	654	13.7749996185303	47.9965171813965	28.6999988555908
79	SAM226	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
80	SAM227	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
81	SAM228	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
